GDP + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
110.5,105.6223373
110.7000046,105.0246429
110.9000015,105.7793808
111.0999985,105.7301483
111.3000031,104.0763245
111.5,105.8601532
111.7000046,105.0268097
111.9000015,105.5998306
112.0999985,105.3133469
112.3000031,106.1839905
112.5,104.7911301
112.7000046,106.3222046
112.9000015,106.1219254
113.0999985,106.4697495
113.3000031,105.3532944
113.5,107.2034912
113.7000046,105.0462418
113.9000015,106.0817566
114.0999985,105.7828598
114.3000031,106.7922897
114.5,106.3153
114.7000046,105.7379456
114.9000015,106.0587921
115.0999985,106.6474533
115.3000031,105.2653275
115.5,106.3244019
115.7000046,106.2549438
115.9000015,106.3494186
116.0999985,105.8708344
116.3000031,106.2774124
116.5,107.6605377
116.7000046,105.8367767
116.9000015,107.2494049
117.0999985,106.9371719
117.3000031,106.5932617
117.5,105.8170319
117.7000046,105.5171509
117.9000015,106.6515274
118.0999985,105.2763748
118.3000031,105.4866791
118.5,106.8560181
118.7000046,106.5033112
118.9000015,104.8406296
119.0999985,106.3181534
119.3000031,106.9357681
119.5,108.0817795
119.7000046,106.2520905
119.9000015,105.8481827
120.0999985,104.7591171
120.3000031,106.0866013
120.5,107.4197006
120.7000046,105.2537994
120.9000015,105.916008
121.0999985,107.0861359
121.3000031,107.1902618
121.5,106.775177
121.7000046,106.2741852
121.9000015,106.8735123
122.0999985,107.6975174
122.3000031,107.8677444
122.5,107.5957794
122.7000046,106.1952362
122.9000015,107.4877777
123.0999985,105.0679092
123.3000031,106.2752914
123.5,106.8553925
123.7000046,106.238121
123.9000015,105.8565521
124.0999985,106.3734283
124.3000031,106.7446442
124.5,106.0061264
124.7000046,106.386261
124.9000015,105.4403458
125.0999985,106.5438919
125.3000031,106.249054
125.5,106.381897
125.7000046,105.45681
125.9000015,106.3587875
126.0999985,106.1596832
126.3000031,106.000267
126.5,106.8279877
126.7000046,107.0987167
126.9000015,107.3885345
127.0999985,107.4375305
127.3000031,107.2382202
127.5,107.4076004
127.7000046,106.4752579
127.9000015,106.7660828
128.1000061,105.1619339
128.3000031,107.841156
128.5,107.5693283
128.6999969,105.711792
128.9000092,106.8625488
129.1000061,106.9674835
129.3000031,106.6933899
129.5,105.1501465
129.6999969,106.6949539
129.9000092,106.7669754
130.1000061,107.4885941
130.3000031,107.2584152
130.5,107.4004364
130.6999969,106.1882324
130.9000092,105.6562271
131.1000061,106.3821411
131.3000031,107.3987808
131.5,107.4143906
131.6999969,106.6271057
131.9000092,106.7519608
132.1000061,106.5228424
132.3000031,106.9058228
132.5,105.9053116
132.6999969,107.8500519
132.9000092,105.909996
133.1000061,107.775238
133.3000031,106.8980713
133.5,107.0292053
133.6999969,106.8841629
133.9000092,106.531868
134.1000061,107.9939957
134.3000031,106.3284607
134.5,105.4514999
134.6999969,105.7433701
134.9000092,106.6571198
135.1000061,107.6258087
135.3000031,106.185585
135.5,106.6375046
135.6999969,105.8535995
135.9000092,106.6716309
136.1000061,107.5820465
136.3000031,107.2921371
136.5,106.817215
136.6999969,106.3370743
136.9000092,107.1803818
137.1000061,106.9705963
137.3000031,107.6044998
137.5,107.7300034
137.6999969,106.2447586
137.9000092,106.2763748
138.1000061,107.7546387
138.3000031,106.2149582
138.5,107.0867233
138.6999969,108.103302
138.9000092,107.0969849
139.1000061,108.0299988
139.3000031,105.5389938
139.5,106.0317612
139.6999969,106.8482819
139.9000092,105.4806442
140.1000061,108.1834946
