NA + 10ul TBS,
Time (s),Intensity (a.u.)
49.90000153,85.19358063
50.10000229,86.45336914
50.29999924,85.94454956
50.5,85.69958496
50.70000076,86.28492737
50.90000153,86.50505829
51.10000229,87.88443756
51.29999924,86.73323059
51.5,87.36645508
51.70000076,87.62403107
51.90000153,86.15145874
52.10000229,86.95468903
52.29999924,87.31278229
52.5,87.59354401
52.70000076,86.95254517
52.90000153,86.56253815
53.10000229,87.3661499
53.29999924,86.87499237
53.5,86.88124084
53.70000076,87.81192017
53.90000153,88.19245911
54.10000229,87.10590363
54.29999924,88.15908051
54.5,89.38233185
54.70000076,87.96091461
54.90000153,88.39061737
55.10000229,88.09857941
55.29999924,88.73259735
55.5,87.85123444
55.70000076,88.01573944
55.90000153,87.81852722
56.10000229,87.5994873
56.29999924,88.99752808
56.5,89.25271606
56.70000076,87.90119171
56.90000153,90.18196869
57.10000229,88.30612183
57.29999924,88.9798584
57.5,89.32247162
57.70000076,89.27246094
57.90000153,88.97094727
58.10000229,88.75727844
58.29999924,88.08137512
58.5,89.48040771
58.70000076,88.65735626
58.90000153,89.90938568
59.10000229,90.24871826
59.29999924,89.02641296
59.5,90.2455368
59.70000076,89.58292389
59.90000153,89.59051514
60.10000229,89.41567993
60.29999924,90.3442688
60.5,89.29070282
60.70000076,90.59136963
60.90000153,88.67565918
61.10000229,90.88939667
61.29999924,89.29811096
61.5,90.28199768
61.70000076,88.19958496
61.90000153,91.32898712
62.10000229,90.55883026
62.29999924,89.71356964
62.5,90.8692627
62.70000076,89.55770111
62.90000153,89.08512878
63.10000229,89.54706573
63.29999924,90.57562256
63.5,89.79734802
63.70000076,91.44638824
63.90000153,90.47122955
64.09999847,90.32736969
64.30000305,91.28978729
64.5,89.93817139
64.70000458,90.50799561
64.90000153,90.22328186
65.09999847,89.70715332
65.30000305,90.41439056
65.5,90.04404449
65.70000458,90.67347717
65.90000153,90.71672821
66.09999847,90.06376648
66.30000305,91.57498169
66.5,91.01502228
66.70000458,91.93202972
66.90000153,92.49568939
67.09999847,92.33766937
67.30000305,91.00465393
67.5,90.9648819
67.70000458,91.60758209
67.90000153,93.04788208
68.09999847,93.93216705
68.30000305,93.15327454
68.5,92.09946442
68.70000458,92.81755829
68.90000153,92.76103973
69.09999847,92.80640411
69.30000305,91.57194519
69.5,92.28630829
69.70000458,93.05747223
69.90000153,91.6907196
70.09999847,92.73834991
70.30000305,91.84573364
70.5,92.6920929
70.70000458,92.5202179
70.90000153,92.43323517
71.09999847,92.82962036
71.30000305,92.42295074
71.5,92.59277344
71.70000458,91.63230133
71.90000153,92.92643738
72.09999847,93.18608093
72.30000305,92.96156311
72.5,92.00926971
72.70000458,92.63564301
72.90000153,93.11954498
73.09999847,93.5728302
73.30000305,93.30567169
73.5,93.11248779
73.70000458,93.41789246
73.90000153,93.60070801
74.09999847,93.68463898
74.30000305,92.44574738
74.5,92.40411377
74.70000458,93.78858948
74.90000153,94.518013
75.09999847,93.83503723
75.30000305,93.17826843
75.5,93.57801819
75.70000458,93.64645386
75.90000153,93.74181366
76.09999847,93.59426117
