OA,
Time (s),Intensity (a.u.)
75.09999847,102.5137253
75.30000305,102.4694061
75.5,104.0695496
75.70000458,104.0426483
75.90000153,104.9076385
76.09999847,102.1137924
76.30000305,103.9110184
76.5,103.6390915
76.70000458,104.9394302
76.90000153,104.0245514
77.09999847,104.6610565
77.30000305,104.7280731
77.5,102.3417892
77.70000458,104.02314
77.90000153,104.4929199
78.09999847,104.477005
78.30000305,105.3874359
78.5,105.6348495
78.70000458,104.4764175
78.90000153,104.3116455
79.09999847,104.5423203
79.30000305,104.4785233
79.5,104.9652634
79.70000458,105.0800018
79.90000153,105.2178574
80.09999847,105.3019485
80.30000305,105.00811
80.5,104.7670212
80.70000458,105.030899
80.90000153,104.5146255
81.09999847,104.7756958
81.30000305,104.6345444
81.5,106.2691574
81.70000458,105.0180206
81.90000153,105.8299026
82.09999847,104.318779
82.30000305,105.9722748
82.5,107.1974792
82.70000458,105.3213577
82.90000153,106.1223679
83.09999847,105.3281631
83.30000305,105.6715088
83.5,105.7358475
83.70000458,105.5161972
83.90000153,105.9468307
84.09999847,105.8967743
84.30000305,107.178627
84.5,106.61129
84.70000458,107.5443726
84.90000153,107.1049118
85.09999847,106.3307114
85.30000305,105.8092346
85.5,106.591835
85.70000458,106.1588593
85.90000153,106.815033
86.09999847,107.4416733
86.30000305,107.4795532
86.5,106.1521683
86.70000458,106.2573166
86.90000153,105.7915421
87.09999847,106.9295502
87.30000305,105.340889
87.5,106.9918671
87.70000458,106.7450867
87.90000153,106.8563232
88.09999847,105.8659592
88.30000305,106.2160416
88.5,106.811348
88.70000458,106.3742294
88.90000153,106.4434738
89.09999847,107.7462082
89.30000305,107.5704803
89.5,106.9555359
89.70000458,108.2369995
89.90000153,107.342926
90.09999847,107.2303772
90.30000305,107.7417831
90.5,106.5245438
90.70000458,105.5988541
90.90000153,107.1403656
91.09999847,108.1903381
91.30000305,107.9570465
91.5,106.8048096
91.70000458,106.8863602
91.90000153,107.1424942
92.09999847,108.1628342
92.30000305,107.1008224
92.5,107.2829437
