Capacity Cal,
Time (s),Intensity (a.u.)
122.7000046,0.14466995
122.9000015,0.062574305
123.0999985,0.156368896
123.3000031,0.010484708
123.5,0.239705682
123.7000046,0.084840134
123.9000015,0.116668791
124.0999985,0.031113876
124.3000031,0.07152199
124.5,0.08275234
124.7000046,0.094831675
124.9000015,0.074669853
125.0999985,0.052375767
125.3000031,0.167493671
125.5,0.158252895
125.7000046,0.175070033
125.9000015,0.10167665
126.0999985,0.043234833
126.3000031,0.155274689
126.5,0.258542687
126.7000046,0.207253888
126.9000015,0.071006157
127.0999985,0.247780755
127.3000031,0.127064809
127.5,0.10610418
127.7000046,0.23531425
127.9000015,0.157142103
128.1000061,0.140249416
128.3000031,0.082911864
128.5,0.148101121
128.6999969,0.114051096
128.9000092,0.083945438
129.1000061,0.202668831
129.3000031,0.104953818
129.5,0.223775625
129.6999969,0.196815729
129.9000092,0.156150788
130.1000061,0.062866725
130.3000031,0.124619648
130.5,0.146366969
130.6999969,0.201807782
130.9000092,0.219438031
131.1000061,0.103872366
131.3000031,0.186267927
131.5,0.084670417
131.6999969,0.159264416
131.9000092,0.144044787
132.1000061,0.152867794
132.3000031,0.095058039
132.5,0
132.6999969,0.093070388
132.9000092,0.157245889
133.1000061,0.075396098
133.3000031,0.160141781
133.5,0.094580539
133.6999969,0.052569047
133.9000092,0.072980523
134.1000061,0.205973223
134.3000031,0.084519237
134.5,0.143273801
134.6999969,0.084148526
134.9000092,-0.031337813
135.1000061,0.125338152
135.3000031,0.083741575
135.5,0.209731549
135.6999969,0.194949776
135.9000092,0.085157119
136.1000061,0.238980904
136.3000031,0.09339878
136.5,0.157737002
136.6999969,0.117232047
136.9000092,0.20398961
137.1000061,0.030741168
137.3000031,0.020209778
137.5,2.12438035
137.6999969,4.086439133
137.9000092,246.389801
138.1000061,347.7870789
138.3000031,346.538147
138.5,347.3106995
138.6999969,346.7489929
138.9000092,344.7540588
139.1000061,348.677948
139.3000031,348.0419922
139.5,346.0723267
139.6999969,345.6109924
139.9000092,344.853302
140.1000061,346.6210938
140.3000031,347.38974
140.5,346.6509094
140.6999969,344.0197754
140.9000092,347.2049866
141.1000061,347.0470276
141.3000031,344.5560608
141.5,345.2389832
141.6999969,347.4124451
141.9000092,346.1473999
142.1000061,343.9278564
142.3000031,346.1286926
142.5,344.3757324
142.6999969,347.3346558
142.9000092,348.6101685
143.1000061,342.6874695
143.3000031,345.641449
143.5,343.1392212
143.6999969,345.9884338
143.9000092,346.8023682
144.1000061,343.8345947
144.3000031,344.5125122
144.5,344.2594299
144.6999969,348.1731567
144.9000092,344.6619263
145.1000061,346.7250061
145.3000031,346.1781006
145.5,344.3781738
145.6999969,345.3355103
145.9000092,344.5759888
146.1000061,346.4274597
146.3000031,343.1947937
146.5,344.5915527
146.6999969,344.8851624
146.9000092,346.6163635
147.1000061,344.7778015
147.3000031,346.3549194
147.5,345.3087158
147.6999969,345.0096741
147.9000092,343.6141052
148.1000061,344.4621887
148.3000031,344.6715393
148.5,342.8646545
148.6999969,348.8956604
148.9000092,345.1012268
149.1000061,345.9275513
149.3000031,346.6991577
149.5,346.4909363
149.6999969,346.4396362
149.9000092,343.7572327
150.1000061,345.9525757
150.3000031,345.4854126
150.5,347.4271851
150.6999969,344.0226135
150.9000092,346.4592285
151.1000061,346.4026184
151.3000031,345.7845764
151.5,344.9898376
151.6999969,346.0771484
151.9000092,346.6994629
152.1000061,348.5422974
152.3000031,346.6964417
152.5,347.3512878
152.6999969,344.6980286
152.9000092,348.5185547
153.1000061,348.364624
153.3000031,347.7255859
153.5,347.1106262
153.6999969,348.2724609
153.9000092,351.8582764
154.1000061,352.3092957
154.3000031,348.39328
154.5,348.9621277
154.6999969,346.5658264
154.9000092,345.545929
155.1000061,345.5847778
155.3000031,166.7580719
155.5,0.53514272
155.6999969,0.124658488
155.9000092,0.132766858
156.1000061,0.041966993
156.3000031,0.202240825
156.5,0.132147402
156.6999969,0.24463661
156.9000092,0.137110546
157.1000061,0.073322997
157.3000031,0.197476462
157.5,0.156548426
157.6999969,0.063384078
157.9000092,0.115273774
158.1000061,0.08332292
158.3000031,0.150767401
158.5,0.11511936
158.6999969,0.215280846
