OA + GDP + TBS,
Time (s),Intensity (a.u.)
126.0999985,108.7227249
126.3000031,107.1034012
126.5,107.606369
126.7000046,106.339447
126.9000015,106.7262344
127.0999985,106.3840637
127.3000031,105.9902649
127.5,107.0005112
127.7000046,107.4659805
127.9000015,106.7794189
128.1000061,106.9699326
128.3000031,106.7518845
128.5,106.3963699
128.6999969,107.3436356
128.9000092,106.6549759
129.1000061,108.0505905
129.3000031,106.3603287
129.5,106.7835617
129.6999969,106.2516479
129.9000092,108.2005539
130.1000061,108.1418686
130.3000031,107.4392471
130.5,107.9876633
130.6999969,108.6702271
130.9000092,107.4544601
131.1000061,107.979126
131.3000031,107.0383835
131.5,107.6972275
131.6999969,108.4526138
131.9000092,108.7219315
132.1000061,108.5631714
132.3000031,107.9380951
132.5,107.8836136
132.6999969,107.0655594
132.9000092,107.8961182
133.1000061,107.1497421
133.3000031,107.9560852
133.5,107.5017853
133.6999969,108.0967636
133.9000092,108.0588455
134.1000061,108.0948868
134.3000031,107.062027
134.5,107.5683365
134.6999969,107.8221512
134.9000092,106.9201889
135.1000061,107.7364197
135.3000031,106.5067368
135.5,107.6221237
135.6999969,107.5481796
135.9000092,108.4872055
136.1000061,107.4966965
136.3000031,107.955925
136.5,108.4757156
136.6999969,109.2643967
136.9000092,108.3948212
137.1000061,108.2763443
137.3000031,107.123558
137.5,106.3488007
137.6999969,108.3914032
137.9000092,108.1050949
138.1000061,106.9919891
138.3000031,107.2818985
138.5,107.4165497
138.6999969,108.0752411
138.9000092,107.6429367
139.1000061,107.1328812
139.3000031,107.2316132
139.5,108.2990341
139.6999969,108.740181
139.9000092,108.1552658
140.1000061,108.7836456
