Proton Cal,
Time (s),Intensity (a.u.)
122.9000015,94.67785645
123.0999985,96.55391693
123.3000031,95.04763794
123.5,95.08029938
123.7000046,94.30266571
123.9000015,96.10150909
124.0999985,93.90280914
124.3000031,94.51287842
124.5,94.35282898
124.7000046,94.92646027
124.9000015,95.21289825
125.0999985,94.49385071
125.3000031,94.36894989
125.5,94.8558197
125.7000046,94.31674957
125.9000015,94.29706573
126.0999985,95.47065735
126.3000031,95.52793884
126.5,95.06035614
126.7000046,94.46124268
126.9000015,94.56134796
127.0999985,95.39294434
127.3000031,95.8592453
127.5,94.80783844
127.7000046,94.73223114
127.9000015,94.81401062
128.1000061,95.62151337
128.3000031,95.33106995
128.5,95.05111694
128.6999969,95.0589447
128.9000092,95.39091492
129.1000061,95.71286774
129.3000031,95.28662872
129.5,95.84825897
129.6999969,95.51919556
129.9000092,95.76257324
130.1000061,95.67064667
130.3000031,95.08231354
130.5,95.5872879
130.6999969,94.92614746
130.9000092,95.7456131
131.1000061,95.1770401
131.3000031,96.15422821
131.5,96.59378815
131.6999969,94.74134064
131.9000092,93.88866425
132.1000061,8.219719887
132.3000031,0.108620524
132.5,0.129779384
132.6999969,0.155389592
132.9000092,0.09155646
133.1000061,0.07927385
133.3000031,0.116804235
133.5,0.197415829
133.6999969,0.098483354
133.9000092,0.183964133
134.1000061,0.121321186
134.3000031,0.159348264
134.5,0.217395604
134.6999969,0.11788746
134.9000092,0.048943792
135.1000061,0.139868528
135.3000031,0.109475613
135.5,0.117446713
135.6999969,0.211365417
135.9000092,0.157801822
136.1000061,0.04081383
136.3000031,0.07067138
136.5,0.188697994
136.6999969,0.140706345
136.9000092,0.119169392
137.1000061,0.191684917
137.3000031,0.03083311
137.5,-0.010257462
137.6999969,0.138787001
137.9000092,0.068726495
138.1000061,0.109109663
138.3000031,0.129612461
138.5,0.143653095
138.6999969,0.102187842
138.9000092,0.069092132
139.1000061,0.226549536
139.3000031,0.159056798
139.5,0.152751043
139.6999969,0.106417976
139.9000092,0.057363022
140.1000061,0.159948811
140.3000031,0.181245148
140.5,0.174113229
140.6999969,0.098987356
140.9000092,0.03859067
141.1000061,0.161649212
141.3000031,0.115542375
141.5,0.096739866
141.6999969,0.028712804
141.9000092,-0.028896445
142.1000061,0.02887892
142.3000031,0.038503002
142.5,0.172506526
142.6999969,0.163770184
142.9000092,0.098116174
143.1000061,0.096534416
143.3000031,0.167128727
143.5,0.088896789
143.6999969,0.18122682
