OA + 10ul TBS ,
Time (s),Intensity (a.u.)
84.5,108.8987198
84.70000458,109.1951141
84.90000153,109.5734406
85.09999847,109.7196045
85.30000305,109.449913
85.5,108.2736816
85.70000458,109.4639664
85.90000153,110.3359604
86.09999847,110.38974
86.30000305,108.9958725
86.5,109.5566177
86.70000458,109.5281677
86.90000153,110.3292007
87.09999847,110.2758102
87.30000305,110.0672073
87.5,109.7533188
87.70000458,109.5158157
87.90000153,109.5676727
88.09999847,109.4493256
88.30000305,110.3851471
88.5,110.4092407
88.70000458,110.5528183
88.90000153,109.9716492
89.09999847,109.6383438
89.30000305,109.5204544
89.5,109.3796997
89.70000458,109.2325439
89.90000153,109.5263519
90.09999847,110.2439041
90.30000305,109.678566
90.5,108.8526764
90.70000458,108.8155136
90.90000153,108.2025833
91.09999847,110.3802948
91.30000305,110.0061111
91.5,110.8557129
91.70000458,109.2622452
91.90000153,110.5445557
92.09999847,108.9394302
92.30000305,110.5653076
92.5,110.5642548
92.70000458,110.6375046
92.90000153,111.4525299
93.09999847,109.1137695
93.30000305,109.2609711
93.5,110.119812
93.70000458,109.9944763
93.90000153,109.1469345
94.09999847,109.389183
94.30000305,109.3094254
94.5,109.975708
94.70000458,111.1805344
94.90000153,108.5226135
95.09999847,109.4517822
95.30000305,109.8246384
95.5,111.0653305
95.70000458,110.4945831
95.90000153,110.3749313
96.09999847,111.1956635
96.30000305,110.9742279
96.5,109.3032837
96.70000458,111.721077
96.90000153,110.7890244
97.09999847,110.1599197
97.30000305,111.156189
97.5,109.8505554
97.70000458,109.2193451
97.90000153,111.5166931
98.09999847,110.844368
98.30000305,111.268959
98.5,110.074913
98.70000458,111.2256012
98.90000153,109.8132553
99.09999847,110.6985474
99.30000305,109.7176208
99.5,109.6189575
99.70000458,109.1632385
99.90000153,111.2173386
100.0999985,109.9078751
100.3000031,102.912117
100.5,99.6680069
100.7000046,111.1212692
100.9000015,110.150116
101.0999985,105.6373978
101.3000031,105.7692337
101.5,106.250824
101.7000046,105.1046448
101.9000015,105.6700516
102.0999985,104.2711945
102.3000031,107.2146149
102.5,106.3949432
102.7000046,105.0153961
102.9000015,105.2578888
103.0999985,107.0268555
103.3000031,105.6962433
103.5,104.6772537
103.7000046,105.6810303
103.9000015,107.1552505
104.0999985,106.8072739
104.3000031,105.7965012
104.5,104.9201431
104.7000046,107.0086746
104.9000015,107.4080582
105.0999985,106.8543015
105.3000031,107.2778931
105.5,106.3972015
105.7000046,107.9548798
105.9000015,108.1167984
106.0999985,107.7353134
106.3000031,107.53479
106.5,107.1663895
106.7000046,106.8466644
