GDP + 10ul TBS,
Time (s),Intensity (a.u.)
117.5,105.9528656
117.7000046,106.3276215
117.9000015,106.4746017
118.0999985,107.3149872
118.3000031,106.7442398
118.5,107.4277039
118.7000046,106.8930054
118.9000015,106.835228
119.0999985,107.5468674
119.3000031,107.156868
119.5,107.5552216
119.7000046,107.7979126
119.9000015,107.6382675
120.0999985,107.9663162
120.3000031,107.1450043
120.5,107.2002869
120.7000046,107.5675888
120.9000015,108.5548248
121.0999985,107.6946869
121.3000031,108.0024185
121.5,107.9725342
121.7000046,108.506546
121.9000015,107.5667419
122.0999985,107.0466537
122.3000031,107.2380295
122.5,107.5299225
122.7000046,107.353363
122.9000015,107.1845322
123.0999985,106.1564407
123.3000031,107.8600693
123.5,106.6039047
123.7000046,107.6182175
123.9000015,106.4407959
124.0999985,107.3331985
124.3000031,107.8128128
124.5,106.4708786
124.7000046,106.975563
124.9000015,106.2043839
125.0999985,106.8958359
125.3000031,107.9639359
125.5,107.8312912
125.7000046,107.1987686
125.9000015,107.5202942
126.0999985,106.7625885
126.3000031,107.2777786
126.5,107.1389694
126.7000046,106.8047867
126.9000015,107.2658844
127.0999985,107.8841858
127.3000031,108.7580032
127.5,106.98349
127.7000046,106.3309402
127.9000015,107.9047165
128.1000061,106.2655716
128.3000031,107.1689224
128.5,107.4847946
128.6999969,106.6678925
128.9000092,107.6298981
129.1000061,106.5030365
129.3000031,106.6883469
129.5,107.0847473
129.6999969,107.4754257
129.9000092,107.0699234
130.1000061,106.7018967
130.3000031,107.8259125
130.5,107.7969818
130.6999969,106.5864029
130.9000092,107.5056534
131.1000061,108.6484985
131.3000031,107.9600143
131.5,106.4581985
131.6999969,107.6192398
131.9000092,107.6817398
132.1000061,106.6186066
132.3000031,106.9420242
132.5,106.9278107
132.6999969,107.945282
132.9000092,106.8411102
133.1000061,107.0132446
133.3000031,107.579689
133.5,107.8104248
133.6999969,108.0025711
133.9000092,108.6325302
134.1000061,109.3155365
134.3000031,108.1894226
134.5,106.690239
134.6999969,107.3658905
134.9000092,108.5716553
135.1000061,107.2808914
135.3000031,108.2241974
135.5,108.680481
135.6999969,107.4270706
135.9000092,108.4267273
136.1000061,107.6621323
136.3000031,108.4090881
136.5,108.3996887
136.6999969,107.0052338
136.9000092,107.708107
137.1000061,106.7230606
137.3000031,107.2558823
137.5,107.4568405
137.6999969,108.5838547
137.9000092,107.1307678
138.1000061,107.056839
138.3000031,108.7116013
138.5,108.6250381
138.6999969,108.7205887
138.9000092,107.2476196
139.1000061,107.5313873
139.3000031,107.4114151
139.5,108.1845779
139.6999969,108.4975586
139.9000092,107.8553696
140.1000061,107.7668304
